product,itemCount,running_total
core.chargeable.exchange,1,14243
core.chargeable.sp1gb,1,14244
core.chargeable.advancemailsec,1,14245
core.chargeable.exchange,1,14246
core.chargeable.advancemailsec,1,14247
core.chargeable.exchange,1,14248
core.chargeable.sp1gb,1,14249
core.chargeable.advancemailsec,1,14250
core.chargeable.exchange,9,14259
core.chargeable.sp1gb,1,14260
core.chargeable.advancemailsec,9,14269
core.chargeable.exchange,2,14271
core.chargeable.sp1gb,1,14272
core.chargeable.advancemailsec,2,14274
core.chargeable.exchange,2,14276
core.chargeable.sp1gb,1,14277
core.chargeable.advancemailsec,2,14279
core.chargeable.exchange,3,14282
core.chargeable.sp1gb,1,14283
core.chargeable.advancemailsec,3,14286
core.chargeable.exchange,3,14289
core.chargeable.sp1gb,1,14290
core.chargeable.advancemailsec,3,14293
core.chargeable.exchange,2,14295
core.chargeable.sp1gb,1,14296
core.chargeable.advancemailsec,2,14298
core.chargeable.exchange,7,14305
core.chargeable.sp1gb,1,14306
core.chargeable.advancemailsec,7,14313
core.chargeable.exchange,9,14322
core.chargeable.sp1gb,1,14323
core.chargeable.advancemailsec,9,14332
core.chargeable.exchange,3,14335
core.chargeable.sp1gb,1,14336
core.chargeable.advancemailsec,3,14339
core.chargeable.encrymsg,1,14340
core.chargeable.exchange,1,14341
core.chargeable.sp1gb,1,14342
core.chargeable.advancemailsec,1,14343
core.chargeable.exchange,1,14344
core.chargeable.sp1gb,1,14345
core.chargeable.advancemailsec,1,14346
core.chargeable.exchange,7,14353
core.chargeable.sp1gb,1,14354
core.chargeable.advancemailsec,7,14361
core.chargeable.exchange,1,14362
core.chargeable.sp1gb,1,14363
core.chargeable.advancemailsec,1,14364
core.chargeable.exchange,2,14366
core.chargeable.sp1gb,1,14367
core.chargeable.advancemailsec,2,14369
core.chargeable.encrygateway,10,14379
core.chargeable.exchange,10,14389
core.chargeable.sp1gb,1,14390
core.chargeable.advancemailsec,10,14400
core.chargeable.exchange,8,14408
core.chargeable.sp1gb,1,14409
core.chargeable.advancemailsec,8,14417
core.chargeable.exchange,2,14419
core.chargeable.sp1gb,1,14420
core.chargeable.advancemailsec,2,14422
core.chargeable.exchange,2,14424
core.chargeable.sp1gb,1,14425
core.chargeable.advancemailsec,2,14427
core.chargeable.exchange,2,14429
core.chargeable.sp1gb,1,14430
core.chargeable.advancemailsec,2,14432
core.chargeable.exchange,2,14434
core.chargeable.sp1gb,1,14435
core.chargeable.advancemailsec,2,14437
core.chargeable.exchange,5,14442
core.chargeable.sp1gb,1,14443
core.chargeable.advancemailsec,5,14448
core.chargeable.exchange,56,14504
core.chargeable.sp1gb,1,14505
core.chargeable.advancemailsec,56,14561
core.chargeable.exchange,5,14566
core.chargeable.sp1gb,1,14567
core.chargeable.advancemailsec,5,14572
core.chargeable.exchange,10,14582
core.chargeable.sp1gb,1,14583
core.chargeable.advancemailsec,10,14593
core.chargeable.exchange,25,14618
core.chargeable.sp1gb,1,14619
core.chargeable.advancemailsec,25,14644
core.chargeable.exchange,19,14663
core.chargeable.sp1gb,1,14664
core.chargeable.advancemailsec,19,14683
core.chargeable.exchange,10,14693
core.chargeable.sp1gb,1,14694
core.chargeable.advancemailsec,10,14704
core.chargeable.exchange,3,14707
core.chargeable.sp1gb,1,14708
core.chargeable.advancemailsec,3,14711
core.chargeable.exchange,3,14714
core.chargeable.sp1gb,1,14715
core.chargeable.advancemailsec,3,14718
core.chargeable.exchange,5,14723
core.chargeable.sp1gb,1,14724
core.chargeable.advancemailsec,5,14729
core.chargeable.exchange,52,14781
core.chargeable.owa,1,14782
core.chargeable.activesync,1,14783
core.chargeable.sp1gb,1,14784
core.chargeable.advancemailsec,53,14837
core.chargeable.exchange,16,14853
core.chargeable.sp1gb,1,14854
core.chargeable.advancemailsec,16,14870
core.chargeable.exchange,2,14872
core.chargeable.sp1gb,1,14873
core.chargeable.advancemailsec,2,14875
core.chargeable.exchange,2,14877
core.chargeable.sp1gb,1,14878
core.chargeable.advancemailsec,2,14880
core.chargeable.exchange,2,14882
core.chargeable.sp1gb,1,14883
core.chargeable.advancemailsec,2,14885
core.chargeable.exchange,2,14887
core.chargeable.sp1gb,1,14888
core.chargeable.advancemailsec,2,14890
core.chargeable.exchange,87,14977
core.chargeable.sp1gb,1,14978
core.chargeable.advancemailsec,87,15065
core.chargeable.comdisclaimsvcs,1,15066
core.chargeable.exchange,7,15073
core.chargeable.sp1gb,1,15074
core.chargeable.advancemailsec,7,15081
core.chargeable.exchange,2,15083
core.chargeable.sp1gb,1,15084
core.chargeable.advancemailsec,2,15086
core.chargeable.exchange,9,15095
core.chargeable.sp1gb,1,15096
core.chargeable.advancemailsec,9,15105
core.chargeable.exchange,2,15107
core.chargeable.sp1gb,1,15108
core.chargeable.advancemailsec,2,15110
core.chargeable.exchange,2,15112
core.chargeable.sp1gb,1,15113
core.chargeable.advancemailsec,2,15115
core.chargeable.encrygateway,1,15116
core.chargeable.exchange,1,15117
core.chargeable.sp1gb,1,15118
core.chargeable.advancemailsec,1,15119
core.chargeable.exchange,3,15122
core.chargeable.sp1gb,1,15123
core.chargeable.advancemailsec,3,15126
core.chargeable.exchange,3,15129
core.chargeable.sp1gb,1,15130
core.chargeable.advancemailsec,3,15133
core.chargeable.exchange,1,15134
core.chargeable.sp1gb,1,15135
core.chargeable.advancemailsec,1,15136
core.chargeable.exchange,19,15155
core.chargeable.sp1gb,1,15156
core.chargeable.advancemailsec,19,15175
core.chargeable.encrygateway,9,15184
core.chargeable.exchange,9,15193
core.chargeable.sp1gb,1,15194
core.chargeable.advancemailsec,9,15203
core.chargeable.exchange,2,15205
core.chargeable.sp1gb,1,15206
core.chargeable.advancemailsec,2,15208
core.chargeable.exchange,13,15221
core.chargeable.sp1gb,1,15222
core.chargeable.advancemailsec,13,15235
core.chargeable.exchange,3,15238
core.chargeable.owa,4,15242
core.chargeable.activesync,4,15246
core.chargeable.sp1gb,1,15247
core.chargeable.advancemailsec,7,15254
core.chargeable.encrygateway,4,15258
core.chargeable.exchange,4,15262
core.chargeable.sp1gb,1,15263
core.chargeable.advancemailsec,4,15267
core.chargeable.exchange,4,15271
core.chargeable.sp1gb,1,15272
core.chargeable.advancemailsec,4,15276
core.chargeable.exchange,12,15288
core.chargeable.sp1gb,1,15289
core.chargeable.advancemailsec,12,15301
core.chargeable.exchange,1,15302
core.chargeable.sp1gb,1,15303
core.chargeable.advancemailsec,1,15304
core.chargeable.exchange,2,15306
core.chargeable.advancemailsec,2,15308
core.chargeable.exchange,1,15309
core.chargeable.sp1gb,1,15310
core.chargeable.advancemailsec,1,15311
core.chargeable.exchange,5,15316
core.chargeable.sp1gb,1,15317
core.chargeable.advancemailsec,5,15322
core.chargeable.exchange,22,15344
core.chargeable.sp1gb,1,15345
core.chargeable.advancemailsec,22,15367
core.chargeable.exchange,6,15373
core.chargeable.sp1gb,1,15374
core.chargeable.advancemailsec,6,15380
core.chargeable.exchange,30,15410
core.chargeable.sp1gb,1,15411
core.chargeable.advancemailsec,30,15441
core.chargeable.exchange,1,15442
core.chargeable.sp1gb,1,15443
core.chargeable.advancemailsec,1,15444
core.chargeable.exchange,1,15445
core.chargeable.sp1gb,1,15446
core.chargeable.advancemailsec,1,15447
core.chargeable.exchange,2,15449
core.chargeable.sp1gb,1,15450
core.chargeable.advancemailsec,2,15452
core.chargeable.exchange,1,15453
core.chargeable.sp1gb,1,15454
core.chargeable.advancemailsec,1,15455
core.chargeable.exchange,60,15515
core.chargeable.sp1gb,1,15516
core.chargeable.advancemailsec,60,15576
core.chargeable.exchange,7,15583
core.chargeable.sp1gb,1,15584
core.chargeable.advancemailsec,7,15591
core.chargeable.exchange,6,15597
core.chargeable.sp1gb,1,15598
core.chargeable.advancemailsec,6,15604
core.chargeable.exchange,19,15623
core.chargeable.sp1gb,1,15624
core.chargeable.advancemailsec,19,15643
core.chargeable.exchange,1,15644
core.chargeable.sp1gb,1,15645
core.chargeable.advancemailsec,1,15646
core.chargeable.exchange,1,15647
core.chargeable.sp1gb,1,15648
core.chargeable.advancemailsec,1,15649
core.chargeable.exchange,1,15650
core.chargeable.sp1gb,1,15651
core.chargeable.advancemailsec,1,15652
core.chargeable.exchange,1,15653
core.chargeable.sp1gb,1,15654
core.chargeable.advancemailsec,1,15655
core.chargeable.exchange,1,15656
core.chargeable.sp1gb,1,15657
core.chargeable.advancemailsec,1,15658
core.chargeable.exchange,42,15700
core.chargeable.sp1gb,1,15701
core.chargeable.advancemailsec,42,15743
core.chargeable.encrygateway,2,15745
core.chargeable.exchange,2,15747
core.chargeable.sp1gb,1,15748
core.chargeable.advancemailsec,2,15750
core.chargeable.exchange,1,15751
core.chargeable.sp1gb,1,15752
core.chargeable.advancemailsec,1,15753
core.chargeable.exchange,10,15763
core.chargeable.sp1gb,1,15764
core.chargeable.advancemailsec,10,15774
core.chargeable.exchange,1,15775
core.chargeable.sp1gb,1,15776
core.chargeable.advancemailsec,1,15777
core.chargeable.exchange,1,15778
core.chargeable.sp1gb,1,15779
core.chargeable.advancemailsec,1,15780
